YEAR,Rk,Team,Conf,W,L,WinLoss,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Age,PW,PL,SOS,SRS,ORtg,DRtg,Pace,FTr,ThreeProp,TrueShoot,EffFG,TOP,ORBP,FTvsFGA,eFG%,TOV%,DRBP,FT/FGA,Arena,TotalAttend,AttendperG
2003,10,Minnesota Timberwolves,W,51,31,0.622,2.07,106.81,104.5,2.31,2.46,106.97,104.23,2.73,28.2,47,35,0.39,2.46,106.1,103.8,91.9,0.268,0.118,0.528,0.488,12.9,28.2,0.206,0.472,12.7,72.9,0.203,Target Center,"643,684","15,700"
2003,12,Philadelphia 76ers,E,48,34,0.585,2.3,105.78,103.26,2.52,1.76,105.6,103.68,1.93,28.3,48,34,-0.55,1.76,105,102.5,91.4,0.339,0.119,0.52,0.466,13.7,30.3,0.263,0.488,16.2,72.7,0.243,First Union Center,"807,097","19,685"
2003,2,Sacramento Kings,W,59,23,0.72,6.5,106.45,99.5,6.95,6.68,106.36,99.2,7.16,28.3,59,23,0.18,6.68,105.9,99.1,95.4,0.262,0.184,0.535,0.499,13.3,25.6,0.196,0.446,13.6,70.6,0.204,ARCO Arena (II),"709,997","17,317"
2003,20,Washington Wizards,E,37,45,0.451,-1.01,103.82,105.06,-1.25,-1.47,103.75,105.49,-1.74,28.4,38,44,-0.46,-1.47,103,104.1,88.2,0.325,0.127,0.513,0.46,13,27.3,0.253,0.477,13.8,71.6,0.212,MCI Center,"827,093","20,173"
2003,3,San Antonio Spurs,W,60,22,0.732,5.41,106.25,100.29,5.96,5.65,106.2,99.99,6.22,28.4,57,25,0.23,5.65,105.6,99.7,90,0.348,0.202,0.541,0.497,15.1,28.8,0.253,0.453,14.2,71.3,0.199,SBC Center,"735,970","17,950"
2003,5,Detroit Pistons,E,50,32,0.61,3.68,104.84,100.71,4.14,2.98,104.48,101.11,3.36,29,52,30,-0.71,2.97,104.1,99.9,86.8,0.322,0.237,0.523,0.473,13.3,25.9,0.248,0.461,13.9,74,0.225,The Palace of Auburn Hills,"839,278","20,470"
2003,14,New Orleans Hornets,E,47,35,0.573,2.11,104.61,102.28,2.33,1.52,104.36,102.68,1.69,29.1,47,35,-0.59,1.52,103.9,101.6,89.4,0.285,0.161,0.511,0.465,13.9,31.7,0.219,0.464,14,73.1,0.226,New Orleans Arena,"641,683","15,651"
2003,7,Portland Trail Blazers,W,50,32,0.61,2.61,106.41,103.58,2.83,2.98,106.52,103.29,3.23,29.2,49,33,0.36,2.97,105.5,102.6,89.4,0.3,0.177,0.531,0.489,14.5,30.2,0.223,0.483,14.9,72.3,0.194,Rose Garden Arena,"796,258","19,421"
2003,16,Milwaukee Bucks,E,42,40,0.512,0.23,109.62,109.36,0.26,-0.24,109.72,109.97,-0.25,29.3,42,40,-0.48,-0.24,108.8,108.6,90.4,0.287,0.229,0.543,0.5,12.2,25.6,0.222,0.494,13.5,69.9,0.237,Bradley Center,"665,966","16,243"
2003,21,New York Knicks,E,37,45,0.451,-1.35,105.34,106.81,-1.47,-1.61,105.37,107.12,-1.75,30.2,37,45,-0.26,-1.61,104.7,106.2,90.7,0.241,0.235,0.528,0.486,13.4,24.4,0.196,0.485,13.7,71.8,0.261,Madison Square Garden (IV),"779,479","19,012"
2003,6,Utah Jazz,W,47,35,0.573,2.39,106.46,103.59,2.87,2.77,106.58,103.3,3.27,30.9,48,34,0.37,2.76,105.5,102.8,89.3,0.38,0.104,0.537,0.486,16,32.5,0.283,0.468,15.2,70.2,0.256,Delta Center,"786,034","19,172"
